property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
Mumthaz building,1708651012,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kinassery,Mumthaz building","{'amount': '7,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/4kiwy5vkbkcu1-IN/image;s=850x0,House  for rent in calicut,Mubeen ,"Kinassery, Kozhikode, Kerala,Kinassery, Kozhikode, Kerala",Houses & Villas,1,2
2 BHK BRANDED FLAT FOR SALE NEAR POTTAMMAL,1701169335,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,2 BHK BRANDED FLAT FOR SALE NEAR POTTAMMAL","{'amount': '42,00,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/y8b7z732mdw9-IN/image;s=850x0,"BRANDED FLAT FOR SALE & RENT AVAILABLE IN CALICUT,2bhk  branded  flat for sale  near pottammal,located in a prime location , amenities :,Gym,Children's play area ,Meeting room ,Party areas ,24Hrs Backup Electricity,24 Hrs water supply,CCTV Cameras,Covered Car Parking, ,Asking price : 42 lakhs ,8️⃣1️⃣2️⃣9️⃣5️⃣ 0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Pottammal, Kozhikode, Kerala,Pottammal, Kozhikode, Kerala",Apartments,2,2
11.5k rental house at ngo qtrs,1619162176,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,11.5k rental house at ngo qtrs","{'amount': '11,500', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3gtvul7ay8751-IN/image;s=850x0,"Well water newly constructed house for rent,11500 rent 40k advance, ,New bypass only 400m far away from the house",Rk realtors,"Chevarambalam, Kozhikode, Kerala,Chevarambalam, Kozhikode, Kerala",Houses & Villas,3,3
2 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR NADAKAVU,1705024432,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,2 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR NADAKAVU","{'amount': '19,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/53akdlrw30na2-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2 bhk Branded SemiFurnished Flat For Rent Near Nadakkavu , amenities  :,Swimming pool,GYM,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup,Covered parking , ,Expecting rent : 19000 + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Nadakkavu, Kozhikode, Kerala,Nadakkavu, Kozhikode, Kerala",Apartments,2,2
2  BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR CHALAPPURAM,1701172930,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chalappuram,2  BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR CHALAPPURAM","{'amount': '16,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/edfeltupg12m-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2 bhk Semi furnished flat for rent Near chalappuram ,located in a prime location , amenities  :,GYM,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup,Covered parking , ,Expecting rent : 16000 + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual building differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Chalappuram, Kozhikode, Kerala,Chalappuram, Kozhikode, Kerala",Apartments,2,2
1 BHK FURNISHED APARTMENT FOR RENT NEAR ESTHILL,1710136661,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in East Hill,1 BHK FURNISHED APARTMENT FOR RENT NEAR ESTHILL","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/8a4ztgmrr3bl2-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,1 BHK FURNISHED APARTMENT FOR RENT NEAR ESTHILL , amenities  :, Lift ,24 Hr Security,24 Hr power backup,parking , ,Expecting rent : 15000  + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual buiding differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"East Hill, Kozhikode, Kerala,East Hill, Kozhikode, Kerala",Apartments,1,1
2 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR CHEVARAMBALAM,1710137285,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,2 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR CHEVARAMBALAM","{'amount': '18,500', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/cdqglge9gr2u1-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2 bhk Branded Semi furnished flat for near Chevarambalam ,located in a prime location , amenities  :,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup, parking , ,Expecting rent : 18500  + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual buiding differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Chevarambalam, Kozhikode, Kerala,Chevarambalam, Kozhikode, Kerala",Apartments,2,2
Nadakkav calicut,1710103812,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,Nadakkav calicut","{'amount': '15,00,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3kl6mxcn73i92-IN/image;s=850x0,"CALICUT NADAKKAV N H bustop NEAR JEST 300 METER DISTENSE,2 between appadmanth,Fully furnished,15 lakh. Lees,95441779 A 55",Aboobacker,"Nadakkavu, Kozhikode, Kerala,Nadakkavu, Kozhikode, Kerala",Apartments,3,2
സുന്ദരി വീടുകൾക്ക് നല്ല ആലോചന ക്ഷണിക്കുന്നു,1626404582,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,സുന്ദരി വീടുകൾക്ക് നല്ല ആലോചന ക്ഷണിക്കുന്നു","{'amount': '21,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/4myanpofpbiv1-IN/image;s=850x0,"Looking for a Rental House in kozhikode? ,Welcome to Brokees,                 We are Kerala leading real estate marketing company specialising in the end-to-end solution for property renting,  leasing,  buying and selling. Which present in Calicut Cochin Kannur Thrissur and Kottayam. we are your most reliable and trusted real estate partner.,                    Your search for a rental flat, Villa or house ends here. We are an expert property finder with serving more than hundred thousand buyers across Kerala.  ,  ,    These makes us way ahead then our competitors. Just give us 24 working hours to show you the exact property you have been hunting for.,Get 30% off on Commission charges,HURRY GET YOUR APPOINTMENT NOW",Brokees,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
Furnished / Semi furnished 2/3 Bedroom flats.,1569963250,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,Furnished / Semi furnished 2/3 Bedroom flats.","{'amount': '17,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6zm9jwgjwu1c3-IN/image;s=850x0,"3 bhk at 4th gate Furnished flat 24000 k adv 3 monts,3 bhk at Cherooty ngr Furnished flat 40000 k adv 3 months.,2 bhk at Easthill rd semi furnished flat 15000 k adv 3 months,.,3 bhk at Beach semi furnished flat 18000 k adv 3 months,3 bhk at eranipalam bypass Furnished flat 35000 k adv 3 months.,3 bhk at Karaparambu semi furnished flat 20000 k adv 3 months.,3 bhk at sarovaram Furnished flat 32000 k adv 3 months.,2 bhk at Vandipetta Furnished flat 23000 k adv 3 months.,3 bhk at Chakortukulam rd semi furnished flat 18000 k adv 3 months.,2 bhk at Paniker rd Furnished flat 25000 k adv 3 months,3 bhk at Corinth Furnished flat 35000 k adv 3 months.,2 bhk at Methotutazam semi  furnished flat 16000 k adv 3 months.,3 bhk at Ymca Furnished flat 28000 k adv 3 months.,2 bhk at Kotooly semi furnished flat 16000 k adv 3 months.,3 bhk at Sales tax Furnished flat 30000 k adv 3 months.,3 bhk at  Vandipetta semi furnished flat at 21000 k adv 3 months,2 bhk at Leptis Furnished flat 36000 k adv 3 months.,2 bhk at Metromax Furnished flat 28800 k adv 3 months.,2 bhk at Karaparambu semi furnished flat 15500 k adv 3 months,1 bhk at Methotutazam semi furnished flat at 12000 k adv 3 months.,3 bhk at Malaparambu semi furnished flat 32000 k adv 4 months.,3 bhk at Residency hilite Furnished flat 35000 k adv 5 months.,2 bhk at Kotooly semi furnished flat 17000 k adv 3 months.,2 bhk at Civil Furnished flat 20000 k adv 3 months.,3 bhk Palayam semi furnished  flat 20000 k adv 3 months.,2 bhk at Palayam Furnished flat 20000 k adv 3 months.,2 bhk at Karaparambu semi furnished flat 16000 k adv 3 months.,3 bhk at Karaparambu new semi furnished flat 30000 k adv 3 months.,3 bhk at Kanakalaya semi furnished flat 22000 k adv 3 months.,2 bhk at Parayanjeri semi furnished flat 16000 k adv 3 months.,3 bhk at Easthill rd semi furnished flat at 19000 k adv 3 months.,3 bhk at Mathara Furnished flat at 25000 k adv 4 months.,2 bhk at Leptis Furnished flat 28000 k adv 3 months.,3 bhk at Methotutazam Furnished flat 30000 k adv 3 months.,3 bhk at Eranipalam bypass semi furnished flat 27000 k adv 3 months.,3 bhk at Bmh Furnished flat at 30000 k adv 3 months.,2 bhk at Civil Furnished flat 22000 k adv 3 months.,3 bhk flat semi furnished at kunduparambu 20000 k adv 3 months.,3 bhk at Bypass Tc Furnished flat 30000 k adv 4 months.,2 bhk at sales tax Furnished flat at 25000 k adv 3 months.,3 bhk at Metromax semi furnished flat at 25000 k adv 3 months.,2 bhk at Jayalakshmi semi furnished flat at 20000 k adv 3 months.,3 bhk at Palayam Furnished flat at 25000 k adv 3 months.,2 bhk at Pushpa jn semi furnished flat at 20000 k adv 3 months.,2 bhk at Ymca semi furnished flat at 17000 k adv 3 months.,2 bhk at karaparambu semi furnished flat at 16000 k adv 3 months.,2 bhk at Tondayaad semi furnished flat at 19000 k adv 3 months.,3 bhk at Tondayaad jn semi furnished flat at 25000 k adv 3 months.,3 bhk at Ashokapuram Furnished flat at 25000 k adv 3 months.,2 bhk at Meitra rd semi furnished flat at 20000 k adv 3 months.,2 bhk at jafferkhan Furnished flat at 22000 k adv 3 months.,2 bhk at Westhill Furnished flat at 20000 k adv 3 months.,3 bhk semi furnished flat at Ashokapuram at 29000 k adv 3 months.,2 bhk at Residency hilite Furnished flat at 32000 k adv 4 months.,3 bhk semi furnished flat at Paniker rd 22000 k adv 3 months.,3 Bhk flat Furnished at Residency hilite 37500 k adv 3 months.,2 Bhk flat semi Furnished at Landmark bypass at 22000 k adv 3 months.,2 Bhk flat Residency hilite Furnished at 36000 k adv 3 months.,2 bhk semi furnished flat at residency Hilite at 26000 k adv 3 months.,Service charge as per industry standards.we are real estate consultants.",Rajiv Nair,"Nadakkavu, Kozhikode, Kerala,Nadakkavu, Kozhikode, Kerala",Apartments,3,3
Near MIMS HOSPITAL,1710148367,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,Near MIMS HOSPITAL","{'amount': '12,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/h75k823k41z93-IN/image;s=850x0,"House for rent near MIMS govindapuram,BACHELOR'S Allowed (male only)",Rahesh,"Govindapuram, Kozhikode, Kerala,Govindapuram, Kozhikode, Kerala",Houses & Villas,2,2
പുത്തൻ വീട്ടിൽ താമസിക്കാം,1709638832,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,പുത്തൻ വീട്ടിൽ താമസിക്കാം","{'amount': '29,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/dt03zib2xo3w3-IN/image;s=850x0,We are here to find your best home. Get your appointment now.,Brokees,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Houses & Villas,4,4
3 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR BEACH ROAD,1710138251,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,3 BHK BRANDED SEMI FURNISHED FLAT FOR RENT NEAR BEACH ROAD","{'amount': '23,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3kneibt7dhc03-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,3 BHK  Branded Semi furnished flat for rent Near beach road , amenities  :,GYM,Party area,Children play area, Lift ,24 Hr Security,24 Hr power backup,Covered parking , ,Expecting rent : 23000  + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual buiding differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Calicut Beach, Kozhikode, Kerala,Calicut Beach, Kozhikode, Kerala",Apartments,3,3
3bhk Semi furnished flat for rent at Palazhi Kozhikode,1675930329,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3bhk Semi furnished flat for rent at Palazhi Kozhikode","{'amount': '25,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/8ia0axvadw0z2-IN/image;s=850x0,3bhk Semi furnished flat for rent at Palazhi Kozhikode,FAISAL,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Apartments,3,3
2 BHK APARTMENT FOR RENT NEAR KALLAYI,1710137743,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai,2 BHK APARTMENT FOR RENT NEAR KALLAYI","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/irhkuwdwwddm-IN/image;s=850x0,"Branded flat for rent & sale available in Calicut,2  BHK Apartment  for rent near KALLAYI , amenities  :,24 Hr Security,24 Hr power backup, parking , ,Expecting rent : 15000 + mnc ,8️⃣1️⃣2️⃣9️⃣5️⃣0️⃣2️⃣9️⃣9️⃣9️⃣,Note : images shown are for representation purpose only . actual buiding differ .,Call  between : 10 am - 7 pm (Sunday off)",PROPERTY HUB,"Kallai, Kozhikode, Kerala,Kallai, Kozhikode, Kerala",Apartments,2,2
Karaparamb 4bhk house for rent,1710122046,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparambu,Karaparamb 4bhk house for rent","{'amount': '19,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/l8dfkhdxqhqg-IN/image;s=850x0,"Karaparamb 4bhk house,Rent 19000,Adwance 60000",Vijesh,"Karaparambu, Kozhikode, Kerala,Karaparambu, Kozhikode, Kerala",Houses & Villas,4,4
2bhk fully furnished flat for rent at Thondayad bypass,1624513380,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2bhk fully furnished flat for rent at Thondayad bypass","{'amount': '25,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/c3p0tcl7xr561-IN/image;s=850x0,Near Hilite mall,FAISAL,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Apartments,3,2
"2BHK SEMI FURNISHED FLAT FOR RENT @ MANKAVE, CALICUT",1710113993,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,2BHK SEMI FURNISHED FLAT FOR RENT @ MANKAVE, CALICUT","{'amount': '25,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/260os1xrn15p3-IN/image;s=850x0,"THOMAS ASSOCIATES REALTORS CALICUT,*RESIDENTIAL FLAT FOR RENT*,3 BHK,LOCATION - MANKAVE,SEMI FURNISHED ,RENT - 25000,BRAND NEW,WELL FURNISHED,Near mims hospital ,this picture may differ from original, this is used for advertising purpose only,RERA REGISTERED COMPANY,RERA NO -  K - RERA/AG/0018/2021,For more details contact :,.,63/897,Our college building, ground floor, mavoor road, calicut - 673001,.,.,thomas_associates_,realtors,Realestate,Buyingandselling,Rental,Realestatesale #resorts #flatsforsale hotelsandresorts,Residential_land,malls,agricultural_land,Industrial_land,Realestate_consultancy,Property_managment,Construction_services,Renovation_services #vasthu_consultancy property_legal_advisory_and_a_lot_more",THOMAS ASSOCIATES REALTORS,"Mankavu, Kozhikode, Kerala,Mankavu, Kozhikode, Kerala",Apartments,3,3
ചില വീടുകൾ നമ്മെ വീട്ടുകാരാക്കും,1616873657,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,ചില വീടുകൾ നമ്മെ വീട്ടുകാരാക്കും","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/funhmy7pdk3e3-IN/image;s=850x0,"Looking for a rental House in city ?? ,Here we are to find your dream home .",Brokees,"Thondayad, Kozhikode, Kerala,Thondayad, Kozhikode, Kerala",Houses & Villas,3,4
